No,カテゴリ,質問,回答
1,人事・労務,勤務時間と休憩時間について,通常の勤務時間は9:00-17:30で、休憩時間は12:00-13:00です。部署によって異なる場合がありますので、上司や人事部門に確認してください。
2,人事・労務,有給休暇の取得方法と計算方法,有給休暇は、入社後6ヶ月間継続勤務し、全労働日の8割以上出勤した場合に5日間付与されます。その後は、勤務年数に応じて付与日数が増加します。有給休暇を取得する際は、事前に上司に申請し、承認を得る必要があります。
3,人事・労務,育児休業・介護休業の申請方法,育児休業・介護休業を取得する場合は、事前に上司と相談の上、所定の申請事項を記入し、人事部門に提出してください。申請書は社内イントラネットからダウンロードできます。
4,人事・労務,健康保険・年金の手続き方法,入社時に健康保険と年金の加入手続きを行います。必要書類に記入し、人事部門に提出してください。扶養家族がいる場合は、扶養家族の情報も必要です。
5,人事・労務,通勤手当の申請方法,通勤手当は、公共交通機関を利用している場合に支給されます。申請の際は、通勤経路を記入し、人事部門に提出してください。
6,IT・システム,社内ネットワークへのアクセス方法,社内ネットワークへのアクセスには、個人に割り当てられたIDとパスワードを使用します。初回ログイン時にパスワードを変更してください。社外からのアクセスにはVPNを使用します。
7,IT・システム,メールアカウントの設定方法,メールアカウントは、入社時に自動的に作成されます。初期パスワードは、社員番号の下6桁です。メールクライアントの設定方法については、IT部門のマニュアルを参照してください。
8,IT・システム,社内システムの利用方法,社内システムの利用方法については、各システムのマニュアルを参照してください。不明点がある場合は、IT部門にお問い合わせください。
9,IT・システム,パスワードの変更方法,パスワードは、3ヶ月ごとに変更が必要です。変更方法については、社内ネットのIT部門のページに記載されています。
10,IT・システム,IT機器の調整・トラブルシューティング方法,IT機器の調整は、IT部門が担当します。必要機器がある場合は、上司の承認を得た上でIT部門に提出してください。機器のトラブルシューティングについては、IT部門のヘルプデスクにお問い合わせください。
